ticker,name,sector,industry,quant_rating,quant_score,val_grade,growth_grade,profit_grade,mom_grade,rev_grade,val_s,growth_s,profit_s,mom_s,rev_s,analyst_label,num_analysts,upside,div_yield,price,market_cap,pe_ttm,pe_fwd,rev_growth,earn_growth,roe,net_margin,mom_3m,mom_6m,mom_12m
WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,Hold,2.5399284756305764,C-,C+,B+,C+,C,24.695885672463344,37.33101291364004,65.90643274853801,36.312849162011176,25.555555555555554,Strong Buy,14,37.76327404907178,0.37,231.09,16643445760.0,34.033875,26.128395,0.075,0.021,0.16855,0.16059999,-13.35722053185997,-12.229802418573854,
BMI,"Badger Meter, Inc.",Technology,Scientific & Technical Instruments,Hold,2.5395137848115126,C+,C+,B+,C,D,40.29834562754921,38.065723043635046,66.53389108947545,33.476048647307024,7.59493670886076,Buy,10,23.354123354123345,1.07,144.3,4252489984.0,30.125261,25.934906,0.076,0.096,0.21466999,0.15451,-18.46790602886147,-20.00910136612689,
CRBG,"Corebridge Financial, Inc.",Financial Services,Asset Management,Hold,2.5391380400945565,B+,C-,C-,D+,A+,74.63066081656838,16.669392502135235,15.451957790676875,9.0,99.1869918699187,Buy,13,61.7305300043802,4.25,22.83,11515003904.0,,3.8637679,0.057,-0.581,-0.02967,-0.01966,-26.509696708625242,-31.60097031288305,
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,Hold,2.536991845431351,B-,C+,B+,C,D,49.6200855394655,35.7915614857555,69.87117313885906,25.6754600574407,6.329113924050633,Hold,14,31.115931549771037,3.19,207.45,83902889984.0,19.908829,17.342417,0.062,0.115,0.73843,0.19964,-19.491413131609104,-29.579086763506467,
DOCS,"Doximity, Inc.",Healthcare,Health Information Services,Hold,2.536574988201315,C+,C+,A,F,C,41.351049928597554,36.61218724778047,91.46198830409358,1.1173184357541899,28.333333333333332,Buy,21,64.5485172981878,0.0,24.28,4571226624.0,20.40336,14.953409,0.098,-0.162,0.23815,0.37535998,-46.09236344036224,-65.44264266755593,
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,Hold,2.5348364761828015,C+,C-,B,B-,D+,43.8261397935201,21.717124718241415,55.29876380957749,51.64609053497943,8.60655737704918,Hold,14,-2.07009772903044,1.09,142.23,19061796864.0,23.864094,21.990305,-0.033,-0.115,0.35431,0.07321,-6.025771876928776,15.913615543780235,
MDB,"MongoDB, Inc.",Technology,Software - Infrastructure,Hold,2.534156889933449,C-,B,C-,C-,A,21.45721288025207,55.94121889650198,22.979306259948917,17.92362514626104,91.9831223628692,Buy,35,36.72494245818627,0.0,260.68,20982855680.0,,37.02183,0.267,-0.001,-0.02481,-0.02888,-39.00938261471259,-21.505572053875245,
MORN,"Morningstar, Inc.",Financial Services,Financial Data & Stock Exchanges,Hold,2.532483073091531,C,C,B,C-,B,26.670728377385565,34.13291173744753,63.64089036307172,15.4,63.82113821138211,None,3,35.94164456233422,1.1,180.96,7442740224.0,20.401354,13.946209,0.085,0.045,0.26347,0.15302,-16.191974837652523,-29.27470332324482,
CWT,California Water Service Group,Utilities,Utilities - Regulated Water,Hold,2.5322617752401504,B+,D+,C+,C-,B+,68.05162672900839,11.602564102564102,36.66666666666667,19.491525423728817,67.79661016949152,Strong Buy,2,17.196303808879886,2.78,44.37,2646352896.0,20.637207,16.018051,-0.01,-0.422,0.07678,0.12819,4.430698038983305,-2.962255630278232,
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,Hold,2.5319307981170347,A-,C-,D+,D,A+,80.14924999517369,20.459292346506196,14.841351577304172,3.292181069958848,95.90163934426229,Strong Buy,15,81.11254851228979,0.0,38.65,4430892032.0,46.56627,4.6559424,0.028,-0.683,0.023559999,0.0070200004,-25.314009661835758,-39.476981474167225,
